row_index,WMAN.InitFileVersion
888,sinoma42.2_v20150728
889,sinoma42.2_v20150728
890,sinoma42.2_v20150728
891,sinoma42.2_v20150728
892,sinoma42.2_v20150728
893,sinoma42.2_v20150728
894,sinoma42.2_v20150728
895,sinoma42.2_v20150728
896,sinoma42.2_v20150728
897,sinoma42.2_v20150728
898,sinoma42.2_v20150728
899,sinoma42.2_v20150728
900,sinoma42.2_v20150728
901,sinoma42.2_v20150728
902,sinoma42.2_v20150728
903,sinoma42.2_v20150728
904,sinoma42.2_v20150728
905,sinoma42.2_v20150728
906,sinoma42.2_v20150728
907,sinoma42.2_v20150728
908,sinoma42.2_v20150728
909,sinoma42.2_v20150728
910,sinoma42.2_v20150728
911,sinoma42.2_v20150728
912,sinoma42.2_v20150728
913,sinoma42.2_v20150728
914,sinoma42.2_v20150728
915,sinoma42.2_v20150728
916,sinoma42.2_v20150728
917,sinoma42.2_v20150728
918,sinoma42.2_v20150728
919,sinoma42.2_v20150728
920,sinoma42.2_v20150728
921,sinoma42.2_v20150728
922,sinoma42.2_v20150728
923,sinoma42.2_v20150728
924,sinoma42.2_v20150728
925,sinoma42.2_v20150728
