row_index,WTUR.environment_ok_h
738,44279.04
739,44279.05
740,44279.05
741,44279.05
742,44279.05
743,44279.05
744,44279.05
745,44279.06
746,44279.06
747,44279.06
748,44279.06
749,44279.07
750,44279.07
751,44279.07
752,44279.07
753,44279.07
754,44279.08
755,44279.08
756,44279.08
757,44279.08
758,44279.08
759,44279.08
760,44279.08
761,44279.09
762,44279.09
763,44279.09
764,44279.09
765,44279.1
766,44279.1
767,44279.1
768,44279.1
769,44279.1
770,44279.1
771,44279.11
772,44279.11
773,44279.11
774,44279.11
775,44279.12
776,44279.12
777,44279.12
778,44279.12
779,44279.12
780,44279.12
781,44279.13
782,44279.13
783,44279.13
784,44279.13
785,44279.14
786,44279.14
787,44279.14
788,44279.14
789,44279.14
790,44279.15
791,44279.15
792,44279.15
793,44279.15
794,44279.16
795,44279.16
796,44279.16
797,44279.16
798,44279.16
799,44279.16
800,44279.17
801,44279.17
802,44279.17
803,44279.17
804,44279.17
805,44279.17
806,44279.18
807,44279.18
808,44279.18
809,44279.18
810,44279.19
811,44279.19
812,44279.19
813,44279.19
814,44279.19
815,44279.19
816,44279.2
817,44279.2
818,44279.2
819,44279.2
820,44279.21
821,44279.21
822,44279.21
823,44279.21
824,44279.21
825,44279.22
826,44279.22
827,44279.22
828,44279.22
829,44279.23
830,44279.23
831,44279.23
832,44279.23
833,44279.23
834,44279.23
835,44279.24
836,44279.24
837,44279.24
838,44279.24
839,44279.25
840,44279.25
841,44279.25
842,44279.25
843,44279.25
844,44279.25
845,44279.25
846,44279.26
847,44279.26
848,44279.26
849,44279.26
850,44279.26
851,44279.26
852,44279.27
853,44279.27
854,44279.27
855,44279.27
856,44279.28
857,44279.28
858,44279.28
859,44279.28
860,44279.28
861,44279.28
862,44279.29
863,44279.29
864,44279.29
865,44279.3
866,44279.3
867,44279.3
868,44279.3
869,44279.3
870,44279.3
871,44279.31
872,44279.31
873,44279.31
874,44279.31
875,44279.32
876,44279.32
877,44279.32
878,44279.32
879,44279.32
880,44279.32
881,44279.33
882,44279.33
883,44279.33
884,44279.33
885,44279.33
886,44279.33
887,44279.34
888,44279.34
889,44279.34
890,44279.34
891,44279.35
892,44279.35
893,44279.35
894,44279.35
895,44279.35
896,44279.36
897,44279.36
898,44279.36
899,44279.36
900,44279.37
901,44279.37
902,44279.37
903,44279.37
904,44279.37
905,44279.37
906,44279.38
907,44279.38
908,44279.38
909,44279.38
910,44279.39
911,44279.39
912,44279.39
913,44279.39
914,44279.39
915,44279.39
916,44279.4
917,44279.4
918,44279.4
919,44279.4
920,44279.41
921,44279.41
922,44279.41
923,44279.41
924,44279.41
925,44279.41
926,44279.42
927,44279.42
928,44279.42
929,44279.42
930,44279.42
931,44279.42
932,44279.43
933,44279.43
934,44279.43
935,44279.43
936,44279.44
937,44279.44
938,44279.44
939,44279.44
940,44279.44
941,44279.44
942,44279.45
943,44279.45
944,44279.45
945,44279.45
946,44279.46
947,44279.46
948,44279.46
949,44279.46
950,44279.46
951,44279.47
952,44279.47
953,44279.47
954,44279.47
955,44279.48
956,44279.48
957,44279.48
958,44279.48
959,44279.48
960,44279.48
961,44279.49
962,44279.49
963,44279.49
964,44279.49
965,44279.5
966,44279.5
967,44279.5
968,44279.5
969,44279.5
970,44279.5
971,44279.51
972,44279.51
973,44279.51
974,44279.51
975,44279.51
976,44279.51
977,44279.52
978,44279.52
979,44279.52
980,44279.52
981,44279.53
982,44279.53
983,44279.53
984,44279.53
985,44279.53
986,44279.53
987,44279.54
988,44279.54
989,44279.54
990,44279.55
991,44279.55
992,44279.55
993,44279.55
994,44279.55
995,44279.55
996,44279.56
997,44279.56
998,44279.56
999,44279.56
1000,44279.57
1001,44279.57
1002,44279.57
1003,44279.57
1004,44279.57
1005,44279.57
1006,44279.58
1007,44279.58
1008,44279.58
1009,44279.58
1010,44279.58
1011,44279.58
1012,44279.58
1013,44279.59
1014,44279.59
1015,44279.59
1016,44279.59
1017,44279.6
1018,44279.6
1019,44279.6
1020,44279.6
1021,44279.6
1022,44279.61
1023,44279.61
1024,44279.61
1025,44279.61
1026,44279.62
1027,44279.62
1028,44279.62
1029,44279.62
1030,44279.62
1031,44279.62
1032,44279.63
1033,44279.63
1034,44279.63
1035,44279.63
1036,44279.64
1037,44279.64
1038,44279.64
1039,44279.64
1040,44279.64
1041,44279.64
1042,44279.65
1043,44279.65
1044,44279.65
1045,44279.65
1046,44279.66
1047,44279.66
1048,44279.66
1049,44279.66
1050,44279.66
1051,44279.66
1052,44279.67
1053,44279.67
1054,44279.67
1055,44279.67
1056,44279.67
1057,44279.68
1058,44279.68
1059,44279.68
1060,44279.68
1061,44279.69
1062,44279.69
1063,44279.69
1064,44279.69
1065,44279.69
1066,44279.69
1067,44279.7
1068,44279.7
1069,44279.7
1070,44279.7
1071,44279.71
1072,44279.71
1073,44279.71
1074,44279.71
1075,44279.71
1076,44279.71
1077,44279.72
1078,44279.72
1079,44279.72
1080,44279.72
1081,44279.73
1082,44279.73
1083,44279.73
1084,44279.73
1085,44279.73
1086,44279.73
1087,44279.74
1088,44279.74
1089,44279.74
1090,44279.74
1091,44279.75
1092,44279.75
1093,44279.75
1094,44279.75
1095,44279.75
1096,44279.75
1097,44279.75
1098,44279.76
1099,44279.76
